"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,6.203392744E-1,4.241278172E0,8.443673134E0,9.469365202E0
0.000000000E0,4.271188378E-1,4.294518471E0,8.242077827E0,9.303610391E0
0.000000000E0,3.044866920E-1,4.345366001E0,8.165507317E0,9.254751621E0
0.000000000E0,3.990031779E-1,4.294518471E0,8.353941917E0,9.401618903E0
0.000000000E0,6.891329288E-1,4.261018753E0,8.931210518E0,9.919561801E0
0.000000000E0,9.284151793E-1,4.305285931E0,8.782855988E0,9.825273583E0
0.000000000E0,8.249256015E-1,4.453640938E0,8.331808090E0,9.483377347E0
0.000000000E0,5.772684813E-1,4.405784607E0,8.250452042E0,9.370919688E0
0.000000000E0,6.424728632E-1,4.304089546E0,8.446663857E0,9.501793963E0
0.000000000E0,7.369893789E-1,4.227519512E0,8.739784241E0,9.736472829E0
0.000000000E0,7.495517135E-1,4.210171223E0,8.790034294E0,9.775074035E0
0.000000000E0,8.219345808E-1,4.286143780E0,8.746963501E0,9.775273676E0
0.000000000E0,8.249256015E-1,4.180859566E0,8.803792953E0,9.780943683E0
0.000000000E0,6.424728632E-1,4.101297855E0,8.681160927E0,9.622680007E0
0.000000000E0,3.762713671E-1,4.110869408E0,8.593224525E0,9.533327602E0
0.000000000E0,4.181457460E-1,4.128815651E0,8.745168686E0,9.679872927E0
0.000000000E0,5.874379873E-1,4.092923164E0,8.914461136E0,9.826735000E0
0.000000000E0,7.692924738E-1,4.303491592E0,8.656036377E0,9.697361319E0
0.000000000E0,7.830511928E-1,4.526023865E0,8.557929993E0,9.712683818E0
0.000000000E0,6.125625968E-1,4.455435753E0,8.923434258E0,9.992688309E0
0.000000000E0,3.942175210E-1,4.248456478E0,9.062815666E0,1.001695651E1
0.000000000E0,2.679961324E-1,4.103092670E0,8.813961983E0,9.725899301E0
0.000000000E0,2.374876440E-1,4.521238327E0,7.275377274E0,8.569078764E0
0.000000000E0,5.300102234E-1,4.519443989E0,8.373682976E0,9.530207311E0
0.000000000E0,9.936196208E-1,4.159922123E0,9.739984512E0,1.063764684E1
0.000000000E0,1.135394335E0,3.874577999E0,1.008156013E1,1.085998756E1
1.290538100E-2,5.503492355E-1,4.130012035E0,8.714659691E0,9.659460504E0
1.498079800E-2,5.072783828E-1,4.168296814E0,8.671588898E0,9.634753951E0
1.705611100E-2,4.642075896E-1,4.187439442E0,8.633303642E0,9.606459782E0
1.913147500E-2,4.307080805E-1,4.216153622E0,8.585447311E0,9.574516507E0
2.120678800E-2,4.019941986E-1,4.249652863E0,8.547162056E0,9.553801756E0
2.328210000E-2,3.876372576E-1,4.278367043E0,8.499305725E0,9.523281210E0
2.535746500E-2,3.780659735E-1,4.297509670E0,8.446663857E0,9.484600864E0
2.743282900E-2,3.732803464E-1,4.316651821E0,8.379665375E0,9.433536609E0
2.950814200E-2,3.541377485E-1,4.321437836E0,8.336593628E0,9.396756453E0
3.158350600E-2,3.349951804E-1,4.345366001E0,8.288737297E0,9.364699324E0
3.365881900E-2,3.302095234E-1,4.364508629E0,8.260024071E0,9.348046403E0
3.573413100E-2,3.397808075E-1,4.388436794E0,8.231309891E0,9.334253640E0
3.780949600E-2,3.397808075E-1,4.407579422E0,8.212167740E0,9.326409081E0
