"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.146898000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.646898000E-2,-2.602207661E-2,5.135154724E-2,2.102756500E-2,6.128856635E-2
2.146898000E-2,-3.046266437E-1,2.155716419E-1,1.862668991E-1,4.170897775E-1
2.646898000E-2,-2.934812903E-1,3.512043953E-1,4.497718811E-1,6.416934939E-1
3.146898000E-2,-2.671257854E-1,4.106531143E-1,5.687532425E-1,7.506479976E-1
3.646898000E-2,-2.825320959E-1,4.374110699E-1,6.361112595E-1,8.220646956E-1
4.146898000E-2,-3.168435693E-1,4.036602974E-1,6.055345535E-1,7.937276476E-1
4.646898000E-2,-3.595749140E-1,3.334703445E-1,5.069360733E-1,7.053231684E-1
5.146898000E-2,-3.715302944E-1,2.381486893E-1,3.713283539E-1,5.767445745E-1
5.646898000E-2,-3.177471757E-1,1.517953873E-1,2.795705795E-1,4.496274193E-1
6.146898000E-2,-2.443214655E-1,7.292580605E-2,2.120494843E-1,3.316264999E-1
6.646898000E-2,-1.471483111E-1,-7.952928543E-3,1.865139008E-1,2.377042484E-1
7.146898000E-2,-3.542554379E-2,-6.705665588E-2,1.838922501E-1,1.989168768E-1
7.646898000E-2,4.253906012E-2,-1.220881939E-1,1.535959244E-1,2.007655516E-1
8.146898000E-2,1.138800681E-1,-1.973614693E-1,1.216793060E-1,2.583139039E-1
8.646898000E-2,2.034164369E-1,-2.595443726E-1,7.227611542E-2,3.375875664E-1
9.146898000E-2,3.010052741E-1,-2.973854542E-1,2.766990662E-2,4.240376246E-1
9.646898000E-2,3.958837986E-1,-3.224108219E-1,2.134990692E-2,5.110073763E-1
1.014689800E-1,4.564043880E-1,-3.253316879E-1,7.046985626E-2,5.648997019E-1
1.064689800E-1,5.211774111E-1,-3.002307415E-1,1.623878479E-1,6.230041774E-1
1.114689800E-1,5.838815570E-1,-2.539303303E-1,2.378911972E-1,6.796988355E-1
1.164689800E-1,6.342335939E-1,-1.924083233E-1,2.591018677E-1,7.116227880E-1
1.214689800E-1,6.510690451E-1,-1.411092281E-1,2.269439697E-1,7.037799948E-1
1.264689800E-1,6.209238172E-1,-9.499788284E-2,2.053489685E-1,6.608624542E-1
1.314689800E-1,5.953952670E-1,-7.628989220E-2,1.995582581E-1,6.325655460E-1
1.364689800E-1,5.545885563E-1,-1.015305519E-1,1.786003113E-1,5.914177804E-1
1.414689800E-1,4.755240381E-1,-1.469042301E-1,1.429224014E-1,5.178134572E-1
1.464689800E-1,3.856387138E-1,-1.670601368E-1,9.671783447E-2,4.312547350E-1
1.514689800E-1,3.318142891E-1,-1.797809601E-1,1.083030701E-1,3.926212820E-1
1.564689800E-1,3.337169588E-1,-1.690049171E-1,1.545104980E-1,4.047260365E-1
1.614689800E-1,3.827059865E-1,-1.773936749E-1,2.551431656E-1,4.929811588E-1
1.664689800E-1,4.364661276E-1,-2.020893097E-1,4.219131470E-1,6.398073720E-1
1.714689800E-1,4.618297219E-1,-2.517442703E-1,6.195831299E-1,8.127392722E-1
1.764689800E-1,4.227786064E-1,-3.170638084E-1,8.601255417E-1,1.009498468E0
1.814689800E-1,3.463177979E-1,-3.623075485E-1,1.090764999E0,1.200404540E0
1.864689800E-1,3.124280274E-1,-3.952951431E-1,1.297489166E0,1.391886367E0
1.914689800E-1,3.010323346E-1,-4.065992832E-1,1.452120781E0,1.537725010E0
1.964689800E-1,2.969030738E-1,-4.192214012E-1,1.491352081E0,1.577348740E0
2.014689800E-1,3.040677905E-1,-4.144412279E-1,1.445725441E0,1.534386132E0
2.064689800E-1,3.344756663E-1,-4.074236155E-1,1.351475716E0,1.450639371E0
2.114689800E-1,3.779480457E-1,-3.910766840E-1,1.177259445E0,1.296813595E0
2.164689800E-1,4.167849422E-1,-3.455057144E-1,9.757070541E-1,1.115835177E0
2.214689800E-1,4.099175930E-1,-2.681144476E-1,7.477531433E-1,8.938973953E-1
2.264689800E-1,3.960812092E-1,-1.798000336E-1,4.535293579E-1,6.284085095E-1
2.314689800E-1,3.737604022E-1,-9.687089920E-2,1.228828430E-1,4.051925499E-1
2.364689800E-1,3.273151517E-1,-2.795970440E-2,-2.540893555E-1,4.153051338E-1
2.414689800E-1,2.994398475E-1,3.178405762E-2,-6.576547623E-1,7.233147551E-1
2.464689800E-1,3.066614270E-1,6.181967258E-2,-1.088789940E0,1.132839987E0
2.514689800E-1,3.357594013E-1,7.063269615E-2,-1.499594688E0,1.538345729E0
2.564689800E-1,3.738750815E-1,5.301320553E-2,-1.843438625E0,1.881717020E0
2.614689800E-1,4.064292908E-1,1.240670681E-2,-2.097534657E0,2.136583799E0
2.664689800E-1,4.326465130E-1,-2.305626869E-2,-2.257116795E0,2.298323481E0
2.714689800E-1,4.476974010E-1,-6.845247746E-2,-2.294217587E0,2.338493754E0
2.764689800E-1,4.721550941E-1,-1.201189756E-1,-2.238554478E0,2.290957256E0
2.814689800E-1,5.102312565E-1,-1.700525284E-1,-2.065032005E0,2.133919160E0
2.864689800E-1,5.354743004E-1,-2.419946194E-1,-1.790606499E0,1.884559831E0
