"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.355083426E-3;-4.425912479E-1;9.391724691E-2;-2.706611221E0;2.744166862E0
1.141508343E-2;-4.198713067E-1;1.865505914E-1;-2.230377726E0;2.277208343E0
2.147608344E-2;-3.003194278E-1;2.117064826E-1;-1.126703492E0;1.185104280E0
3.153708344E-2;-2.007062620E-1;2.320346202E-1;-3.015789181E-1;4.302010140E-1
4.159708344E-2;-2.852736649E-1;1.321703164E-1;1.447875845E-1;3.461408688E-1
5.165808345E-2;-2.366970438E-1;1.273774999E-1;2.509508014E-1;3.677319985E-1
6.171908346E-2;-2.780213633E-1;-1.286555551E-1;4.450614041E-1;5.403034182E-1
7.178008347E-2;-2.185221434E-1;-1.188018273E-1;4.699512470E-1;5.317141862E-1
8.184008347E-2;-2.764879310E-1;1.714389011E-2;1.481509030E-1;3.141467476E-1
9.190108348E-2;-1.786037868E-1;1.158152157E-1;-8.618269622E-2;2.296517668E-1
1.019620835E-1;-1.776740795E-1;1.342105561E-1;-3.097135645E-1;3.814486125E-1
1.120220835E-1;-1.143098500E-1;6.641983822E-2;-3.731242794E-1;3.958535898E-1
1.220830835E-1;-2.696539977E-1;-3.461178906E-2;-1.950976127E-1;3.346256609E-1
1.321440835E-1;-6.142330474E-1;-2.194092391E-1;4.388136542E-1;7.861170865E-1
1.422050835E-1;-5.468020794E-1;-2.663978295E-1;6.623000836E-1;8.992228413E-1
1.522650835E-1;-4.461598036E-1;-2.670278670E-1;7.029785782E-1;8.743805427E-1
1.623260835E-1;-1.166118988E-1;-1.894612623E-1;7.724838459E-1;8.038813327E-1
1.723870833E-1;4.729213402E-2;-5.771750025E-2;6.533193451E-1;6.575667437E-1
1.824470833E-1;6.118935764E-2;9.077297978E-2;6.075543576E-1;6.173379697E-1
1.925080833E-1;-8.787488043E-3;1.477026408E-1;6.129057294E-1;6.305130635E-1
2.025690833E-1;-8.591708645E-2;1.097626897E-1;5.135732299E-1;5.321532263E-1
2.126300833E-1;-1.795652153E-1;-2.795626894E-2;3.066355902E-1;3.564415866E-1
2.226900833E-1;1.334252751E-1;-1.361530743E-1;1.710825133E-1;2.561429094E-1
2.327510833E-1;1.572468317E-1;-1.116560912E-1;1.662187994E-1;2.546023135E-1
2.428120833E-1;9.291561887E-2;-9.890090190E-2;4.124041200E-1;4.341564911E-1
2.528720833E-1;1.087930021E-1;-8.381545097E-3;6.740740371E-1;6.828484276E-1
2.629330833E-1;1.486227733E-1;7.836511508E-2;6.331254011E-1;6.550401465E-1
2.729940834E-1;1.656935732E-1;7.515038900E-2;3.073150367E-1;3.571336905E-1
2.830550834E-1;1.558875002E-1;1.041025119E-1;1.491156936E-2;1.880441453E-1
2.931150834E-1;2.398498625E-2;5.402454503E-2;-6.012224078E-2;8.431260207E-2
3.031760834E-1;-6.304891840E-2;-4.856887355E-2;2.751231909E-2;8.420824954E-2
3.132370834E-1;-3.626223877E-2;-1.011902330E-1;-4.087788463E-3;1.075691556E-1
3.232980834E-1;-2.487420157E-2;-1.105807152E-1;-1.518463433E-1;1.894838580E-1
3.333580834E-1;-6.531222939E-2;-1.120907586E-1;-1.882739121E-1;2.286418410E-1
3.434190834E-1;-7.054987282E-2;-5.682916202E-2;-1.232581365E-1;1.529686452E-1
3.534800834E-1;1.720660150E-2;3.558213450E-2;7.371994078E-2;8.364678774E-2
3.635400834E-1;1.338731718E-1;3.322227135E-2;2.403708494E-1;2.771351487E-1
3.736010834E-1;1.765332878E-1;-5.177095503E-2;-1.271044350E-1;2.236062854E-1
3.836620834E-1;1.372508159E-1;-7.533538029E-2;-4.425406694E-1;4.694203341E-1
3.937230834E-1;8.023944005E-2;-4.347989559E-2;-5.649176306E-1;5.722419055E-1
4.037830834E-1;1.744078249E-3;-2.301961094E-2;-4.964087284E-1;4.969452383E-1
4.138440834E-1;-7.372154877E-2;-1.680438615E-2;-4.350416154E-1;4.415636548E-1
4.239050834E-1;-1.267442465E-1;-1.117264040E-2;-4.048272979E-1;4.243513557E-1
4.339650834E-1;-1.485546532E-1;-1.554928131E-2;-2.591100061E-1;2.990790203E-1
4.440260835E-1;-5.290955409E-2;-4.443920441E-2;-2.603361672E-1;2.693495568E-1
4.540870835E-1;5.402958825E-2;-5.081288874E-2;-3.413727289E-1;3.493372098E-1
4.641480835E-1;5.017861202E-2;-5.767138034E-2;-3.232083535E-1;3.321257608E-1
4.742080835E-1;-1.056928083E-2;-5.434234120E-2;-2.718686306E-1;2.774479268E-1
4.842690835E-1;-1.914656147E-2;3.551964238E-3;-2.277163053E-1;2.285474195E-1
4.943300835E-1;-8.114809737E-2;1.612727858E-2;-9.539323032E-2;1.262733987E-1
5.043900835E-1;-1.358949928E-1;-6.929491416E-2;1.454728782E-2;1.532346494E-1
5.144510835E-1;-1.135893269E-1;-1.559768164E-1;6.080928862E-2;2.023093473E-1
5.245120835E-1;-6.310563639E-2;-1.551851034E-1;4.242915094E-2;1.728148446E-1
5.345730835E-1;-3.124605864E-2;-1.115947685E-1;-3.463715136E-2;1.209522253E-1
5.446330835E-1;6.462430447E-2;-1.405405325E-1;-5.686417222E-2;1.648073909E-1
5.546940835E-1;1.144022360E-1;-1.172705146E-1;-8.172536373E-2;1.830827143E-1
5.647550833E-1;7.681238696E-2;-1.289026000E-2;-1.160070044E-1;1.397280454E-1
5.748150833E-1;3.386517271E-2;2.344389953E-2;-2.407193434E-1;2.442176665E-1
5.848760833E-1;9.158640057E-3;1.792215452E-2;-2.033673298E-1;2.043608455E-1
5.949370833E-1;-2.196798921E-3;1.527855523E-2;-1.263466358E-2;1.994730306E-2
