"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.218791656E-2;-2.044747925E-1;1.171014862E0;9.691296844E0;9.763929551E0
3.224891657E-2;-1.869612122E-1;1.185534668E0;9.685159607E0;9.759239907E0
4.230991658E-2;-1.698966980E-1;1.183588715E0;9.691446533E0;9.764931287E0
5.237091659E-2;-1.664538574E-1;1.188528442E0;9.677226105E0;9.751359486E0
6.243191659E-2;-1.661544800E-1;1.182690582E0;9.693093109E0;9.766392289E0
7.249191660E-2;-1.651066589E-1;1.182989960E0;9.697134705E0;9.770422045E0
8.255291660E-2;-1.558259583E-1;1.188678131E0;9.692344666E0;9.766206149E0
9.261391661E-2;-1.634600830E-1;1.184037781E0;9.683812408E0;9.757299187E0
1.026749166E-1;-1.863624573E-1;1.181193695E0;9.674831085E0;9.748451469E0
1.127359166E-1;-1.987866211E-1;1.184187469E0;9.680369568E0;9.754556425E0
1.227969166E-1;-2.056723022E-1;1.175206146E0;9.686057739E0;9.759258430E0
1.328569166E-1;-2.213896179E-1;1.178050232E0;9.694290619E0;9.768115802E0
1.429179166E-1;-2.143542480E-1;1.179547119E0;9.686207428E0;9.760117494E0
1.529789167E-1;-2.019300842E-1;1.178648987E0;9.687854004E0;9.761378202E0
1.630399167E-1;-1.908531189E-1;1.183588715E0;9.684710541E0;9.758633379E0
1.731009167E-1;-1.820214844E-1;1.181942139E0;9.688752136E0;9.762276220E0
1.831619167E-1;-1.682501221E-1;1.187181244E0;9.676477661E0;9.750483441E0
1.932229167E-1;-1.654060364E-1;1.176703033E0;9.674980774E0;9.747678809E0
2.032829167E-1;-1.805245972E-1;1.178499298E0;9.688602448E0;9.761683621E0
2.133439167E-1;-1.981878662E-1;1.184337158E0;9.676028595E0;9.750254474E0
2.234049167E-1;-2.083666992E-1;1.173709259E0;9.686357117E0;9.759432581E0
2.334659167E-1;-2.016307068E-1;1.176553345E0;9.694739685E0;9.767953229E0
2.435269167E-1;-2.140548706E-1;1.180744629E0;9.693392487E0;9.767386307E0
