"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.986970834E-2,-2.019493800E-1,-9.780491441E-3,2.550169551E-1,3.254425564E-1
2.986070834E-2,-9.151944995E-2,-1.113792256E-2,3.354758120E-1,3.479136149E-1
3.985170833E-2,3.156736314E-2,3.554376215E-3,3.437192166E-1,3.451840550E-1
4.984270833E-2,8.316904128E-2,-1.119610235E-2,2.339780885E-1,2.485722994E-1
5.983270834E-2,8.525591254E-2,-3.372118503E-2,1.192697507E-1,1.504359079E-1
6.982370833E-2,-1.340064883E-2,-8.109313354E-2,9.182175100E-2,1.232351721E-1
7.981470833E-2,-1.528275061E-1,-1.441856137E-1,3.055123401E-1,3.707877125E-1
8.980570834E-2,-1.652522546E-1,-9.165744424E-2,4.727742827E-1,5.091413528E-1
9.979670833E-2,-1.569749361E-1,-2.801181749E-2,4.912386203E-1,5.164699164E-1
1.097867083E-1,-1.129296148E-1,2.173950925E-2,3.941105211E-1,4.105469608E-1
1.197777083E-1,-1.664328074E-1,6.359095529E-2,1.479000574E-1,2.315558593E-1
1.297687083E-1,-2.079866302E-1,2.832259700E-2,-4.169591010E-2,2.140073755E-1
1.397597083E-1,-2.181128383E-1,-4.741814151E-2,-1.421177459E-1,2.646113075E-1
1.497507083E-1,-3.448325264E-1,-4.427204713E-2,-2.616003352E-1,4.350910489E-1
1.597407083E-1,-3.259717476E-1,-2.327425718E-2,-2.789653963E-1,4.296754166E-1
1.697317083E-1,-2.218451160E-1,-2.226356596E-2,-2.711617023E-1,3.510549681E-1
1.797227083E-1,-1.808783537E-1,-7.016512603E-2,-3.219032550E-1,3.758481466E-1
1.897137083E-1,-1.301905954E-1,-7.300511867E-2,-3.559135848E-1,3.859453567E-1
1.997047083E-1,-1.350923163E-1,-4.487401798E-2,-3.629249811E-1,3.898437550E-1
2.096947083E-1,-2.160376614E-1,-4.202028438E-2,-2.633854902E-1,3.432344562E-1
2.196857083E-1,-3.556627393E-1,-5.738515913E-2,-2.686631870E-1,4.494095556E-1
2.296767083E-1,-3.886813813E-1,-6.352356613E-2,-2.572137541E-1,4.703906620E-1
2.396677083E-1,-3.372796780E-1,-1.290458567E-1,-2.455929977E-1,4.367222628E-1
2.496577083E-1,-1.745931816E-1,-1.646982309E-1,-1.812057978E-1,3.007388028E-1
2.596487083E-1,2.430056047E-1,-9.871547207E-2,3.519672990E-2,2.646417922E-1
2.696397083E-1,3.776716590E-1,-2.046421690E-1,2.228216010E-1,4.839047068E-1
2.796307083E-1,3.355652744E-1,-2.633973308E-1,8.306788445E-2,4.346061213E-1
2.896217083E-1,2.151073694E-1,-1.998535918E-1,-3.212284863E-1,4.352015383E-1
2.996117083E-1,-5.199694991E-2,-1.896032766E-1,-3.154069984E-1,3.716647144E-1
3.096027083E-1,-2.894015068E-1,-2.126379441E-1,-2.400048137E-1,4.319380025E-1
3.195937083E-1,-3.758251083E-1,-1.855627044E-1,-3.433455795E-1,5.418156663E-1
3.295847083E-1,-4.331792772E-1,-1.764819784E-1,-3.564410037E-1,5.880819365E-1
3.395757083E-1,-3.452734065E-1,-2.285435401E-1,-2.573821539E-1,4.875360993E-1
3.495657083E-1,-1.484122735E-1,-2.075793716E-1,-2.061552823E-1,3.280478606E-1
3.595567083E-1,-1.479754865E-2,-1.524974307E-1,-8.184113860E-2,1.737020604E-1
3.695477083E-1,1.659609371E-1,-1.717517272E-2,3.589336717E-1,3.958173820E-1
3.795387083E-1,-4.184384465E-2,-4.251627445E-2,6.773069626E-1,6.799288658E-1
3.895297083E-1,-6.289580905E-1,-2.262732124E-1,5.148537701E-1,8.437192963E-1
3.995197083E-1,-6.957163364E-1,-2.274368083E-1,2.629434407E-1,7.777454439E-1
4.095107083E-1,-3.817126697E-1,-1.282262233E-1,2.035415769E-1,4.511936392E-1
4.195017083E-1,-3.507224268E-1,-1.478288676E-1,3.750784189E-1,5.343626250E-1
4.294927083E-1,-4.960508788E-1,-2.549790944E-1,4.450163805E-1,7.135267282E-1
