"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.237111200E-2,7.657032460E-2,9.756135941E0,-5.748756528E-1,9.773358354E0
1.465802900E-2,9.092725813E-2,9.751350403E0,-6.083751321E-1,9.770732969E0
1.692939100E-2,7.657032460E-2,9.775279045E0,-6.083751321E-1,9.794491499E0
1.921265500E-2,7.178468257E-2,9.775279045E0,-6.173482537E-1,9.795016708E0
2.149585800E-2,7.178468257E-2,9.756135941E0,-6.131607890E-1,9.775648709E0
2.378479800E-2,5.264209956E-2,9.770493507E0,-6.317051649E-1,9.791034980E0
2.606281400E-2,5.264209956E-2,9.780064583E0,-6.083751321E-1,9.799109895E0
2.834711600E-2,4.785645381E-2,9.784850121E0,-6.317051649E-1,9.805336993E0
3.063294300E-2,3.828516230E-2,9.775279045E0,-6.317051649E-1,9.795743850E0
3.292896400E-2,3.349951655E-2,9.770493507E0,-6.508477330E-1,9.792204469E0
3.521143400E-2,4.307080805E-2,9.770493507E0,-6.460621357E-1,9.791924977E0
3.749250100E-2,4.785645381E-2,9.765707016E0,-6.179464459E-1,9.785355465E0
3.976984500E-2,5.742774159E-2,9.780064583E0,-6.131607890E-1,9.799435052E0
4.205707700E-2,5.264209956E-2,9.795019150E0,-5.796613097E-1,9.812297314E0
4.434137800E-2,5.742774159E-2,9.780064583E0,-6.083751321E-1,9.799136773E0
4.662317800E-2,6.699903309E-2,9.784850121E0,-5.748756528E-1,9.801951988E0
4.890296300E-2,6.699903309E-2,9.775279045E0,-6.035895348E-1,9.794125260E0
5.119049900E-2,6.699903309E-2,9.780662537E0,-5.557330847E-1,9.796667178E0
5.347370300E-2,6.699903309E-2,9.775279045E0,-5.940182209E-1,9.793540061E0
5.575544100E-2,8.614161611E-2,9.765707016E0,-6.083751321E-1,9.785017844E0
5.803351700E-2,5.264209956E-2,9.765707016E0,-6.035895348E-1,9.784483892E0
6.031287400E-2,8.614161611E-2,9.765707016E0,-5.940182209E-1,9.784135708E0
6.258966900E-2,8.614161611E-2,9.765707016E0,-6.221339107E-1,9.785882919E0
6.488898500E-2,8.135596663E-2,9.760921478E0,-6.652047038E-1,9.783900255E0
6.717255500E-2,7.178468257E-2,9.736993790E0,-6.269195080E-1,9.757419186E0
6.945301100E-2,6.221338734E-2,9.765707016E0,-6.269195080E-1,9.786006954E0
7.173108800E-2,6.221338734E-2,9.756135941E0,-6.221339107E-1,9.776150040E0
7.402063800E-2,6.221338734E-2,9.780064583E0,-6.460621357E-1,9.801577936E0
7.630549000E-2,2.871387079E-2,9.775279045E0,-6.460621357E-1,9.796647446E0
7.858399300E-2,3.349951655E-2,9.765707016E0,-6.508477330E-1,9.787428595E0
8.087104100E-2,4.307080805E-2,9.770493507E0,-6.317051649E-1,9.790988198E0
8.315210800E-2,1.914258115E-2,9.794421196E0,-6.364908218E-1,9.815099264E0
