"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.056890350E-1,-2.390449122E-2,-2.186012268E-2,9.047806263E-3,3.363261010E-2
1.239508760E-1,2.571694180E-2,-2.160644531E-2,1.803755760E-2,3.812549093E-2
1.422149750E-1,1.663740352E-2,-2.628421783E-2,2.879697084E-2,4.239019737E-2
1.604773040E-1,2.496148273E-2,-1.194477081E-2,2.430492640E-2,3.683045774E-2
1.787456140E-1,-9.812436067E-3,-3.593254089E-2,-3.887325525E-2,5.383828908E-2
1.970114830E-1,-9.842840955E-3,-1.193046570E-2,6.398558617E-4,1.547988842E-2
2.152771090E-1,-1.478809863E-4,-7.135391235E-3,2.470076084E-2,2.571115056E-2
2.335380950E-1,2.759505995E-2,-4.548645020E-2,1.411205530E-2,5.504229819E-2
2.517998130E-1,2.463373728E-2,-3.130912781E-2,2.970534563E-2,4.969396397E-2
2.700705650E-1,-3.302755300E-3,-1.248359680E-2,-1.324993372E-2,1.850159791E-2
2.883336270E-1,-4.466881603E-2,1.566886902E-3,-1.838552952E-2,4.832996954E-2
3.065995570E-1,-3.558518365E-2,-3.331184387E-3,-6.813710928E-2,7.694197649E-2
3.248654880E-1,3.244530037E-2,-4.147624969E-2,1.974928379E-2,5.624065269E-2
3.431235440E-1,-2.332684235E-4,-2.228355408E-2,-2.735257149E-3,2.245201167E-2
3.613884370E-1,2.290382981E-2,-2.228927612E-2,3.007954359E-2,4.388822385E-2
3.796599820E-1,-7.511873730E-3,-3.211975098E-3,-2.309286594E-2,2.449541770E-2
3.979210900E-1,-3.829890862E-3,-2.711963654E-2,-1.795166731E-2,3.274759700E-2
4.161743870E-1,1.413827669E-2,-3.709602356E-2,-7.151257992E-2,8.179275590E-2
4.344543540E-1,-3.396697342E-2,-2.543449402E-3,-2.147549391E-2,4.026687543E-2
4.527083220E-1,-3.724754602E-2,-6.845474243E-3,-8.746981621E-3,3.886836618E-2
4.709809050E-1,4.357664846E-3,-3.985023499E-2,1.845306158E-2,4.413100897E-2
4.892440270E-1,3.108115308E-2,-3.472900391E-2,6.149315834E-2,7.715925292E-2
5.075024500E-1,1.342464238E-2,-2.026557922E-2,3.988981247E-2,4.671308022E-2
5.257768650E-1,1.409648731E-2,-2.999782562E-2,8.936446905E-2,9.531310941E-2
5.440405360E-1,1.417162456E-2,-4.493808746E-2,5.121898651E-2,6.959634492E-2
5.622969450E-1,2.713458240E-2,-3.611373901E-2,2.462673187E-2,5.144865042E-2
