"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.784170210E-4;-1.637893982E0;3.616629181E0;7.870782623E0;8.815436599E0
1.024341676E-2;-1.327888641E0;3.600462799E0;8.029602356E0;8.899501930E0
2.020941675E-2;-1.121467896E0;3.526666260E0;8.245752869E0;9.038114047E0
3.017441696E-2;-1.031804352E0;3.598516846E0;8.591234436E0;9.371406130E0
4.014041694E-2;-1.717827759E0;3.675756226E0;8.762927399E0;9.656656390E0
5.010541668E-2;-1.790726166E0;3.557053070E0;8.828640747E0;9.685258086E0
6.007141666E-2;-1.666035461E0;3.403322754E0;8.838071136E0;9.616120909E0
7.003641687E-2;-1.585053864E0;3.241359558E0;8.898096313E0;9.601818866E0
8.000141662E-2;-1.349593506E0;3.061134338E0;8.886719971E0;9.495564117E0
8.996741707E-2;-1.216071167E0;2.838247833E0;8.709189148E0;9.240370959E0
9.993241681E-2;-1.029858398E0;2.786006470E0;8.583450623E0;9.082844541E0
1.098984168E-1;-1.090482330E0;2.966082001E0;8.547375641E0;9.112871364E0
1.198634170E-1;-1.488953705E0;3.300187225E0;8.605604553E0;9.336200972E0
1.298294170E-1;-1.501826935E0;3.354524231E0;8.786578217E0;9.524299119E0
1.397944167E-1;-1.467847595E0;3.332519989E0;8.745114441E0;9.472976967E0
1.497604167E-1;-1.420545959E0;3.300486603E0;8.677904205E0;9.392400334E0
1.597254169E-1;-1.278491364E0;3.339405670E0;8.708141327E0;9.413707865E0
1.696914169E-1;-9.448352051E-1;3.275488586E0;8.747509460E0;9.388315121E0
1.796564166E-1;-8.132588196E-1;3.041076050E0;8.727151794E0;9.277538030E0
1.896224166E-1;-7.093748474E-1;2.799179077E0;8.787476349E0;9.249776038E0
1.995874168E-1;-5.721102905E-1;2.631827087E0;8.947044525E0;9.343630437E0
2.095524170E-1;-5.315446472E-1;2.435136108E0;9.014404449E0;9.352642148E0
2.195184170E-1;-5.165757751E-1;2.312840424E0;9.058113556E0;9.362985771E0
2.294834168E-1;-5.423222351E-1;2.365680542E0;9.031618652E0;9.352042200E0
2.394494168E-1;-6.062393188E-1;2.399360504E0;8.983418884E0;9.318061590E0
2.494144170E-1;-7.488926697E-1;2.417622528E0;9.049581299E0;9.396843119E0
2.593804169E-1;-8.053253174E-1;2.509232025E0;9.336384888E0;9.701179155E0
2.693454167E-1;-7.400610352E-1;2.680775299E0;9.544601898E0;9.941512558E0
2.793114167E-1;-6.246510315E-1;2.695893860E0;9.549990692E0;9.942854461E0
2.892764169E-1;-6.297404480E-1;2.636168060E0;9.538314972E0;9.915916880E0
2.992424169E-1;-6.927593994E-1;2.525099030E0;9.526040497E0;9.879346549E0
3.092074166E-1;-7.060816956E-1;2.419867859E0;9.380692749E0;9.713480749E0
3.191734171E-1;-7.286846924E-1;2.379751282E0;9.206155701E0;9.536639887E0
3.291384168E-1;-7.885601807E-1;2.332599335E0;9.081914063E0;9.409782668E0
3.391034170E-1;-8.357121277E-1;2.263143768E0;9.016350403E0;9.333531436E0
3.490694170E-1;-9.256750488E-1;2.024240570E0;9.280850372E0;9.544035196E0
3.590344167E-1;-8.092172241E-1;1.891766052E0;9.391620026E0;9.614371431E0
3.690004167E-1;-4.165837097E-1;1.794618073E0;8.905131683E0;9.093710261E0
3.789654169E-1;-4.182302856E-1;2.179318085E0;9.596394196E0;9.849625650E0
3.889314169E-1;-9.807604980E-1;1.994153137E0;9.850116577E0;1.009768956E1
3.988964166E-1;-1.208437042E0;1.858984222E0;9.840985565E0;1.008767264E1
4.088624166E-1;-1.116378479E0;1.846260681E0;9.761500854E0;9.997093495E0
4.188274168E-1;-9.479786682E-1;1.732946320E0;9.755962372E0;9.953922257E0
4.287934168E-1;-8.054750061E-1;1.337618408E0;9.893226929E0;1.001568530E1
4.387584170E-1;-6.643185425E-1;1.218017120E0;9.871522064E0;9.968542155E0
4.487244170E-1;-6.315367126E-1;1.188378754E0;9.820627899E0;9.912407125E0
4.586894168E-1;-4.854405212E-1;1.236578522E0;9.776469727E0;9.866313357E0
4.686544170E-1;-5.260061646E-1;1.226998444E0;9.853559418E0;9.943582899E0
4.786204170E-1;-6.096821594E-1;1.292711792E0;9.772128754E0;9.876098242E0
4.885854167E-1;-6.517446899E-1;1.336570587E0;9.539811859E0;9.655009186E0
4.985514167E-1;-3.950285339E-1;1.299747162E0;9.314680023E0;9.413216993E0
5.085164169E-1;-3.038681030E-1;1.334175568E0;9.165739746E0;9.267315974E0
5.184824169E-1;-3.032693481E-1;1.394051056E0;9.017996979E0;9.130148967E0
5.284474166E-1;-4.845423889E-1;1.354383545E0;8.900491333E0;9.015979264E0
5.384134171E-1;-5.251080322E-1;1.303938446E0;8.875643005E0;8.986269119E0
5.483784168E-1;-4.716691589E-1;1.268312531E0;9.031618652E0;9.132427057E0
5.583444168E-1;-1.697470093E-1;1.067130890E0;9.427994385E0;9.489713405E0
5.683094170E-1;7.226971436E-1;8.731343079E-1;9.948462067E0;1.001281939E1
5.782754170E-1;2.571652222E-1;9.231303406E-1;1.026879593E1;1.031341231E1
5.882404167E-1;-3.682342529E-1;1.301094360E0;9.989476776E0;1.008057981E1
5.982054169E-1;-1.075663147E0;1.843566284E0;9.653724976E0;9.886869765E0
6.081714169E-1;-1.649719391E0;2.374362488E0;9.441166992E0;9.873945790E0
6.181364167E-1;-1.760039978E0;2.314337311E0;9.310488739E0;9.753927336E0
6.281024166E-1;-1.299747162E0;1.562899933E0;9.580377502E0;9.793652637E0
6.380674168E-1;-7.581733704E-1;1.107995911E0;1.000085312E1;1.009056712E1
6.480334168E-1;-5.876779175E-1;1.158890076E0;1.017943176E1;1.026202819E1
6.579984170E-1;-5.128335571E-1;1.006806335E0;1.043495041E1;1.049594433E1
6.679644170E-1;-4.378395081E-1;9.737251282E-1;1.056428146E1;1.061809243E1
6.779294168E-1;-2.589614868E-1;1.151405640E0;1.047386948E1;1.054014885E1
6.878954167E-1;-4.161346436E-2;1.194965057E0;1.026729904E1;1.033668722E1
6.978604170E-1;4.520599365E-2;1.085841980E0;1.029199768E1;1.034921797E1
7.078264169E-1;-5.313949585E-2;9.563612366E-1;1.047461792E1;1.051832074E1
7.177914167E-1;2.526745605E-1;1.045126648E0;1.028915359E1;1.034518322E1
7.277574167E-1;4.200265503E-1;1.251547394E0;1.005204666E1;1.013836453E1
7.377224169E-1;5.533992004E-1;1.553170166E0;9.977202301E0;1.011252461E1
7.476874166E-1;6.927593994E-1;1.589993591E0;1.002315674E1;1.017210235E1
7.576534171E-1;5.056484985E-1;1.458866272E0;1.016221756E1;1.027884414E1
7.676184168E-1;-2.965333557E-1;1.345402222E0;9.944570160E0;1.003954754E1
7.775844168E-1;-1.185684357E0;1.311572571E0;9.692644043E0;9.852584359E0
7.875494170E-1;-1.304237823E0;1.484612732E0;9.675429840E0;9.875173611E0
7.975154170E-1;-1.204245758E0;1.685944061E0;9.853559418E0;1.006902420E1
8.074804167E-1;-1.359323273E0;1.833237762E0;1.001866608E1;1.027531948E1
8.174464167E-1;-1.674118652E0;2.020049286E0;9.962532806E0;1.030220036E1
8.274114169E-1;-2.060914307E0;2.349963226E0;9.868977356E0;1.035212099E1
8.373774169E-1;-1.495989075E0;2.460583191E0;9.890831909E0;1.030150517E1
8.473424166E-1;-9.677375793E-1;2.505340118E0;9.957293701E0;1.031314419E1
8.573084166E-1;-7.084767151E-1;2.426304474E0;9.746232605E0;1.006866141E1
8.672734168E-1;-4.367916870E-1;2.464774475E0;9.386680298E0;9.714713954E0
8.772384170E-1;-3.535647583E-1;2.370919647E0;8.978179779E0;9.292684228E0
8.872044170E-1;-6.420149231E-1;2.253264313E0;8.727151794E0;9.036180701E0
8.971694168E-1;-9.382489014E-1;2.150128784E0;8.888366547E0;9.192737604E0
9.071354168E-1;-5.592370605E-1;2.186353455E0;9.419761505E0;9.686319958E0
9.171004170E-1;2.189945984E-1;2.229314117E0;9.973310394E0;1.022177677E1
9.270665003E-1;6.432124329E-1;2.177521820E0;1.035351974E1;1.059956106E1
9.370315000E-1;6.240522766E-1;1.849404144E0;1.047731232E1;1.065757056E1
