"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.808375120E-3;3.037184143E-1;1.132095795E0;9.714199219E0;9.784659024E0
1.177437510E-2;3.522175598E-1;1.136736145E0;9.703571320E0;9.776273453E0
2.173937508E-2;4.689747620E-1;1.188378754E0;9.593550110E0;9.678242873E0
3.170437505E-2;5.312452698E-1;1.233734436E0;9.620643768E0;9.713964624E0
4.167037504E-2;6.011499023E-1;1.222058716E0;9.838291168E0;9.932108629E0
5.163537501E-2;6.397695923E-1;1.197210388E0;1.004501129E1;1.013631440E1
6.160037499E-2;6.345304871E-1;1.221909027E0;1.004441254E1;1.013833881E1
7.156637521E-2;6.045927429E-1;1.211131439E0;9.841284943E0;9.933944890E0
8.153137518E-2;5.285508728E-1;1.198407898E0;9.659712524E0;9.748107179E0
9.149637516E-2;4.617897034E-1;1.184187469E0;9.595496063E0;9.679312702E0
1.014623751E-1;3.999682617E-1;1.150806885E0;9.612410889E0;9.689312369E0
1.114273751E-1;3.608995056E-1;1.128652954E0;9.688901825E0;9.761092383E0
1.213923751E-1;4.019142151E-1;1.166524200E0;9.742640076E0;9.820455661E0
1.313583751E-1;4.525090027E-1;1.170865173E0;9.740843811E0;9.821391337E0
1.413233750E-1;5.301974487E-1;1.214424591E0;9.737999725E0;9.827745167E0
1.512883750E-1;6.038442993E-1;1.244811401E0;9.755812683E0;9.853429072E0
1.612543750E-1;6.376739502E-1;1.226998444E0;9.810149689E0;9.907128250E0
1.712193750E-1;6.165678406E-1;1.205592957E0;9.852810974E0;9.945425801E0
1.811843752E-1;5.665718079E-1;1.201102295E0;9.865534515E0;9.954517648E0
1.911503752E-1;5.246589661E-1;1.204545135E0;9.830207977E0;9.917619921E0
2.011153752E-1;4.718188477E-1;1.184786224E0;9.720935211E0;9.804229332E0
2.110803751E-1;4.492158508E-1;1.171463928E0;9.653724976E0;9.734912867E0
2.210463751E-1;4.110452271E-1;1.146615601E0;9.640252991E0;9.716900907E0
2.310113751E-1;4.079017639E-1;1.155447235E0;9.695188751E0;9.772314316E0
2.409763751E-1;4.513114929E-1;1.185983734E0;9.733059998E0;9.815431544E0
2.509423750E-1;5.032534790E-1;1.199156342E0;9.774823151E0;9.860953687E0
2.609073750E-1;5.548960876E-1;1.223106537E0;9.781409454E0;9.873189464E0
2.708723750E-1;6.011499023E-1;1.207838287E0;9.795779572E0;9.888253230E0
2.808383752E-1;6.122268677E-1;1.198856964E0;9.807305603E0;9.899258707E0
2.908033752E-1;5.785469055E-1;1.197509766E0;9.822274475E0;9.911903048E0
3.007683752E-1;5.635780334E-1;1.169068909E0;9.817035370E0;9.902450493E0
3.107343751E-1;5.069956970E-1;1.180744629E0;9.769584045E0;9.853728986E0
3.206993751E-1;4.546046448E-1;1.176553345E0;9.724378052E0;9.805838651E0
3.306643751E-1;4.123924255E-1;1.156045990E0;9.676777039E0;9.754307956E0
3.406303751E-1;3.870950317E-1;1.155147858E0;9.670490112E0;9.746927113E0
3.505953751E-1;4.067042542E-1;1.158291321E0;9.686506805E0;9.763987978E0
3.605603750E-1;4.369413757E-1;1.175505524E0;9.706565094E0;9.787243582E0
3.705263750E-1;4.793032837E-1;1.184337158E0;9.737101593E0;9.820566866E0
3.804913750E-1;5.087919617E-1;1.178948364E0;9.761650543E0;9.845740695E0
3.904563752E-1;5.334906006E-1;1.207838287E0;9.799222412E0;9.887782635E0
4.004223752E-1;5.387297058E-1;1.231339417E0;9.775571594E0;9.867533960E0
4.103873752E-1;5.468128967E-1;1.212478638E0;9.767039337E0;9.857188555E0
4.203523751E-1;5.261558533E-1;1.198557587E0;9.747280426E0;9.834777881E0
4.303183751E-1;4.914280701E-1;1.180894318E0;9.734706573E0;9.818376903E0
4.402833751E-1;4.757107544E-1;1.170116730E0;9.741592255E0;9.823140717E0
4.502483751E-1;4.634362793E-1;1.167721710E0;9.728719025E0;9.809501569E0
4.602143751E-1;4.722679138E-1;1.180145874E0;9.727371826E0;9.810073594E0
4.701793750E-1;5.071453857E-1;1.174906769E0;9.725425873E0;9.809256382E0
4.801443750E-1;5.282514954E-1;1.178948364E0;9.772428131E0;9.857449998E0
4.901103750E-1;5.514532471E-1;1.195414124E0;9.786199493E0;9.874351429E0
5.000753752E-1;5.761518860E-1;1.199755096E0;9.793683929E0;9.883704174E0
5.100403752E-1;5.655239868E-1;1.183439026E0;9.794582062E0;9.882013108E0
5.200063752E-1;5.589376831E-1;1.203647003E0;9.794881439E0;9.884375542E0
5.299713751E-1;5.436694336E-1;1.207987976E0;9.768386536E0;9.857798279E0
5.399363751E-1;5.135820007E-1;1.189725952E0;9.727371826E0;9.813306118E0
5.499023751E-1;4.966671753E-1;1.177601166E0;9.728120270E0;9.811714772E0
5.598673751E-1;4.977149963E-1;1.181343384E0;9.725874939E0;9.809991628E0
5.698323750E-1;4.881349182E-1;1.188378754E0;9.726324005E0;9.810805187E0
5.797983750E-1;5.255570984E-1;1.181493073E0;9.746831360E0;9.832235641E0
5.897633750E-1;5.384303284E-1;1.171314240E0;9.767937469E0;9.852638564E0
5.997283752E-1;5.415737915E-1;1.193168793E0;9.801168365E0;9.888369697E0
6.096943752E-1;5.764512634E-1;1.196911011E0;9.802365875E0;9.891980023E0
6.196593752E-1;5.777984619E-1;1.203946381E0;9.798324280E0;9.888907758E0
6.296243751E-1;5.480104065E-1;1.214873657E0;9.784852295E0;9.875199636E0
6.395903751E-1;5.040019226E-1;1.187031555E0;9.752669220E0;9.837561627E0
6.495553751E-1;4.492158508E-1;1.173260193E0;9.704319763E0;9.785303083E0
6.595203751E-1;4.291575623E-1;1.166823578E0;9.688303070E0;9.767746406E0
6.694863751E-1;4.480183411E-1;1.168470154E0;9.674382019E0;9.754983874E0
6.794513750E-1;4.887336731E-1;1.170865173E0;9.699679413E0;9.782308857E0
6.894163750E-1;5.288502502E-1;1.188229065E0;9.751621399E0;9.837971885E0
6.993823750E-1;5.264552307E-1;1.192420349E0;9.795480194E0;9.881824408E0
7.093470001E-1;5.692662048E-1;1.197509766E0;9.830806732E0;9.919821302E0
7.193120001E-1;5.751040649E-1;1.171314240E0;9.838590546E0;9.924746126E0
7.292780001E-1;5.740562439E-1;1.199455719E0;9.815239105E0;9.904905516E0
7.392430000E-1;5.423222351E-1;1.195264435E0;9.760003967E0;9.847865145E0
7.492080000E-1;5.188211060E-1;1.169218597E0;9.725425873E0;9.809187320E0
7.591740000E-1;4.897814941E-1;1.195114746E0;9.720186768E0;9.805621651E0
7.691390000E-1;4.816983032E-1;1.171014862E0;9.726473694E0;9.808547272E0
7.791040002E-1;4.716691589E-1;1.179547119E0;9.727521515E0;9.810121203E0
7.890700002E-1;4.791535950E-1;1.196761322E0;9.726473694E0;9.811529766E0
7.990350001E-1;4.715194702E-1;1.188378754E0;9.728269958E0;9.811921884E0
8.090000001E-1;4.800517273E-1;1.194366302E0;9.723779297E0;9.808610724E0
8.189660001E-1;5.059478760E-1;1.179397430E0;9.745334473E0;9.829471274E0
8.289310001E-1;5.159770203E-1;1.195264435E0;9.756411438E0;9.842888474E0
8.388960001E-1;5.376818848E-1;1.194815369E0;9.770482178E0;9.857941345E0
8.488620000E-1;5.393284607E-1;1.186881866E0;9.775122528E0;9.861672485E0
8.588270000E-1;5.275030518E-1;1.209335175E0;9.786498871E0;9.875034743E0
8.687920000E-1;5.366340637E-1;1.181792450E0;9.775721283E0;9.861507801E0
8.787580002E-1;5.267546082E-1;1.192270660E0;9.762249298E0;9.848882734E0
8.887230002E-1;5.459147644E-1;1.195114746E0;9.730515289E0;9.818821211E0
8.986880002E-1;5.291496277E-1;1.186133423E0;9.733808441E0;9.820078340E0
9.086540001E-1;5.355862427E-1;1.163979492E0;9.760902100E0;9.844638677E0
9.186190001E-1;5.233117676E-1;1.172811127E0;9.783654785E0;9.867585424E0
9.285840001E-1;5.209167480E-1;1.192270660E0;9.783954163E0;9.870087266E0
9.385500001E-1;5.177732849E-1;1.190474396E0;9.754764862E0;9.840770091E0
9.485150001E-1;5.170248413E-1;1.183289337E0;9.746531982E0;9.831702499E0
9.584800000E-1;5.010081482E-1;1.182989960E0;9.752369843E0;9.836625029E0
9.684460000E-1;5.096900940E-1;1.187181244E0;9.761201477E0;9.846331173E0
9.784110000E-1;4.882846069E-1;1.185983734E0;9.739795990E0;9.823879336E0
9.883760002E-1;4.923262024E-1;1.187929688E0;9.739047546E0;9.823574153E0
9.983420002E-1;5.062472534E-1;1.169368286E0;9.746831360E0;9.829772634E0
1.008307000E0;5.035528564E-1;1.158890076E0;9.760003967E0;9.841456657E0
1.018272000E0;5.005590820E-1;1.185235291E0;9.749525757E0;9.834052805E0
1.028238000E0;5.135820007E-1;1.187031555E0;9.748477936E0;9.833902198E0
1.038203000E0;5.245092773E-1;1.190474396E0;9.747280426E0;9.833708099E0
1.048168000E0;5.240602112E-1;1.181193695E0;9.770631866E0;9.855714318E0
1.058134000E0;5.146298218E-1;1.196312256E0;9.781259766E0;9.867575663E0
1.068099000E0;5.249583435E-1;1.190324707E0;9.780661011E0;9.866802115E0
1.078064000E0;5.255570984E-1;1.178050232E0;9.779463501E0;9.864173507E0
1.088030000E0;5.513035583E-1;1.169667664E0;9.760303345E0;9.845586800E0
1.097995000E0;5.388793945E-1;1.205443268E0;9.749376068E0;9.838384938E0
1.107960000E0;5.101391602E-1;1.195863190E0;9.768985291E0;9.855120717E0
1.117926000E0;4.917274475E-1;1.149010620E0;9.796977081E0;9.876374903E0
1.127891000E0;4.836442566E-1;1.164278870E0;9.766739960E0;9.847774698E0
1.137856000E0;5.183720398E-1;1.201701050E0;9.712702332E0;9.800478640E0
1.147822000E0;5.502557373E-1;1.202150116E0;9.670041046E0;9.760002055E0
1.157787000E0;5.767506409E-1;1.211879883E0;9.733658752E0;9.825752229E0
1.167752000E0;5.893244934E-1;1.213975525E0;9.804461517E0;9.896893734E0
1.177718000E0;5.766009521E-1;1.204395447E0;9.880054321E0;9.969880162E0
1.187683000E0;5.457650757E-1;1.176852722E0;9.873767395E0;9.958620608E0
1.197648000E0;4.957690430E-1;1.175655212E0;9.777517548E0;9.860415890E0
1.207614000E0;4.469705200E-1;1.166224823E0;9.656718750E0;9.737149480E0
1.217579000E0;3.811074829E-1;1.158441010E0;9.614057465E0;9.691095367E0
1.227544000E0;3.601510620E-1;1.161883850E0;9.627679138E0;9.704220136E0
1.237510000E0;3.670367432E-1;1.151705017E0;9.682165833E0;9.757329329E0
1.247475000E0;4.484674072E-1;1.165326691E0;9.720785522E0;9.800652044E0
1.257440000E0;5.758525085E-1;1.188678131E0;9.748328247E0;9.837401355E0
1.267406000E0;6.511459351E-1;1.250649261E0;9.803264008E0;9.904145587E0
1.277371000E0;6.923103333E-1;1.258882141E0;9.848769379E0;9.953006386E0
1.287336000E0;6.789880371E-1;1.220112762E0;9.912387085E0;1.001025063E1
1.297302000E0;6.041436768E-1;1.200952606E0;9.925260315E0;1.001589083E1
1.307267000E0;5.228627014E-1;1.194665680E0;9.819729767E0;9.905942872E0
1.317232000E0;4.475692749E-1;1.180295563E0;9.664502563E0;9.746590464E0
1.327198000E0;3.948788452E-1;1.127305756E0;9.572593689E0;9.646828365E0
1.337163000E0;3.647914124E-1;1.125210114E0;9.592352600E0;9.665009000E0
1.347128000E0;4.171824646E-1;1.160536652E0;9.667795715E0;9.746135671E0
1.357094000E0;4.619393921E-1;1.178050232E0;9.736652527E0;9.818533128E0
1.367059000E0;5.399272156E-1;1.197360077E0;9.804311829E0;9.891901889E0
1.377024000E0;6.107299805E-1;1.213526459E0;9.840386810E0;9.933722875E0
1.386990000E0;6.475534058E-1;1.232237549E0;9.851014709E0;9.948880620E0
1.396955000E0;6.484515381E-1;1.224603424E0;9.847272491E0;9.944290747E0
1.406920000E0;5.927673340E-1;1.197060699E0;9.817634125E0;9.908090999E0
1.416886000E0;5.213658142E-1;1.195414124E0;9.783505096E0;9.870046059E0
1.426851000E0;4.549040222E-1;1.181193695E0;9.726024628E0;9.808043193E0
1.436816000E0;4.002676392E-1;1.162033539E0;9.657467194E0;9.735358685E0
1.446782000E0;3.811074829E-1;1.140478363E0;9.639504547E0;9.714215446E0
1.456747000E0;3.872447205E-1;1.160985718E0;9.646390228E0;9.723717949E0
1.466712000E0;4.495152283E-1;1.157243500E0;9.680219879E0;9.759504771E0
1.476678000E0;5.159770203E-1;1.173409882E0;9.751621399E0;9.835509287E0
1.486643000E0;5.815406799E-1;1.191372528E0;9.810299377E0;9.899471296E0
1.496608000E0;6.282435608E-1;1.218017120E0;9.855056305E0;9.949893992E0
1.506574000E0;6.355783081E-1;1.224603424E0;9.868079224E0;9.964065480E0
1.516539000E0;6.274951172E-1;1.216520233E0;9.852661285E0;9.947291390E0
1.526504000E0;5.665718079E-1;1.184337158E0;9.821975098E0;9.909331609E0
1.536470000E0;5.240602112E-1;1.190923462E0;9.755513306E0;9.841899088E0
1.546435000E0;4.643344116E-1;1.191971283E0;9.684710541E0;9.768829011E0
1.556400000E0;4.239184570E-1;1.162183228E0;9.649833069E0;9.728805424E0
1.566366000E0;4.269122314E-1;1.155297546E0;9.639953613E0;9.718316322E0
1.576331000E0;4.459226990E-1;1.195264435E0;9.690847778E0;9.774458286E0
1.586296000E0;5.037025452E-1;1.200353851E0;9.735155640E0;9.821803345E0
1.596262000E0;5.496569824E-1;1.200653229E0;9.763596497E0;9.852487377E0
1.606227000E0;5.779481506E-1;1.219813385E0;9.796677704E0;9.889229636E0
1.616192000E0;5.760021973E-1;1.220861206E0;9.793983307E0;9.886576234E0
1.626158000E0;5.848338318E-1;1.209185486E0;9.794432373E0;9.886104676E0
1.636123000E0;5.722599792E-1;1.190175018E0;9.803413696E0;9.891962301E0
1.646088000E0;5.177732849E-1;1.185834045E0;9.775721283E0;9.860984645E0
1.656054000E0;4.852908325E-1;1.181642761E0;9.734107819E0;9.817568020E0
1.666019000E0;4.390370178E-1;1.151555328E0;9.712552643E0;9.790429614E0
1.675984000E0;4.358935547E-1;1.172362061E0;9.696985016E0;9.777318364E0
1.685950000E0;4.537065125E-1;1.169068909E0;9.699978790E0;9.780703464E0
1.695915000E0;5.126838684E-1;1.179547119E0;9.705068207E0;9.789919563E0
1.705880000E0;5.427713013E-1;1.189725952E0;9.732012177E0;9.819476031E0
1.715847125E0;5.649252319E-1;1.207838287E0;9.814640350E0;9.904805856E0
1.725812125E0;5.664221191E-1;1.173260193E0;9.843679962E0;9.929522078E0
1.735777125E0;5.791456604E-1;1.198108521E0;9.832303619E0;9.921948810E0
1.745743125E0;5.692662048E-1;1.217867432E0;9.782008209E0;9.873953094E0
1.755708125E0;5.414241028E-1;1.198108521E0;9.731413422E0;9.819827456E0
1.765673125E0;4.932243347E-1;1.194965057E0;9.740245056E0;9.825659545E0
1.775639125E0;4.534071350E-1;1.157243500E0;9.721533966E0;9.800663916E0
1.785604125E0;4.617897034E-1;1.181642761E0;9.736203461E0;9.818512473E0
1.795569125E0;4.667294312E-1;1.179397430E0;9.737550659E0;9.819811989E0
1.805535125E0;4.812492371E-1;1.169967041E0;9.726324005E0;9.808251748E0
1.815500125E0;5.068460083E-1;1.187779999E0;9.722581787E0;9.807971799E0
1.825465125E0;5.340893555E-1;1.163680115E0;9.720935211E0;9.804895932E0
1.835431125E0;5.548960876E-1;1.174008636E0;9.757608948E0;9.843634406E0
1.845396125E0;5.233117676E-1;1.222208405E0;9.784852295E0;9.874764960E0
1.855361125E0;5.102888489E-1;1.168619843E0;9.790690155E0;9.873382438E0
1.865327125E0;4.933740234E-1;1.099763031E0;9.787397003E0;9.861340515E0
1.875292125E0;5.040019226E-1;1.150507507E0;9.779912567E0;9.860242151E0
1.885257125E0;5.391787720E-1;1.343456268E0;9.733808441E0;9.840864559E0
1.895223125E0;4.799020386E-1;1.255588989E0;9.619146881E0;9.712610174E0
1.905188125E0;4.667294312E-1;1.032403107E0;9.776469727E0;9.841902908E0
1.915153125E0;4.468208313E-1;1.090632019E0;9.860594788E0;9.930783283E0
1.925119125E0;4.334985352E-1;1.227597198E0;9.784702606E0;9.870933135E0
1.935084125E0;5.119354248E-1;1.213526459E0;9.625433807E0;9.715127396E0
1.945049125E0;5.574407959E-1;1.212328949E0;9.589807892E0;9.682194851E0
1.955015125E0;5.469625854E-1;1.227297821E0;9.737400970E0;9.829669662E0
1.964980125E0;5.619314575E-1;1.163530426E0;9.834249573E0;9.918771833E0
1.974945125E0;5.783972168E-1;1.145418091E0;9.934391327E0;1.001691854E1
1.984911125E0;5.917195129E-1;1.187929688E0;9.854457550E0;9.943422073E0
1.994876125E0;6.125262451E-1;1.242266693E0;9.772577820E0;9.870242762E0
2.004841125E0;6.251000977E-1;1.220262451E0;9.692194977E0;9.788689087E0
2.014807125E0;5.897735596E-1;1.184786224E0;9.739346924E0;9.828856991E0
2.024772125E0;5.369334412E-1;1.182690582E0;9.823471985E0;9.908968482E0
2.034737125E0;4.924758911E-1;1.197809143E0;9.833201752E0;9.918121593E0
2.044703125E0;4.863386536E-1;1.168170776E0;9.767488403E0;9.849110516E0
2.054668125E0;4.890330505E-1;1.166673889E0;9.716294861E0;9.798299195E0
2.064633125E0;4.984634399E-1;1.206491089E0;9.670041046E0;9.757754884E0
2.074599125E0;4.960684204E-1;1.239422607E0;9.669741669E0;9.761462811E0
2.084564125E0;4.996609497E-1;1.192719727E0;9.736053772E0;9.821557130E0
2.094529125E0;4.914280701E-1;1.150208130E0;9.825268250E0;9.904563416E0
2.104495125E0;4.924758911E-1;1.157842255E0;9.846673737E0;9.926737373E0
2.114460125E0;5.282514954E-1;1.217717743E0;9.741292877E0;9.831310852E0
2.124425125E0;5.414241028E-1;1.210981750E0;9.651479645E0;9.742211053E0
2.134391125E0;5.237608337E-1;1.179846497E0;9.650581512E0;9.736533608E0
2.144356125E0;4.812492371E-1;1.158590698E0;9.744436340E0;9.824865028E0
2.154321125E0;4.830455017E-1;1.156345367E0;9.805808716E0;9.885562813E0
2.164287125E0;4.805007935E-1;1.176852722E0;9.809850311E0;9.891866683E0
2.174252125E0;5.026547241E-1;1.181493073E0;9.737251282E0;9.821540112E0
2.184217125E0;5.164260864E-1;1.188079376E0;9.701775055E0;9.787883720E0
2.194183125E0;5.278024292E-1;1.200952606E0;9.690997467E0;9.779381088E0
2.204148125E0;5.257067871E-1;1.193617859E0;9.727671204E0;9.814717432E0
2.214113125E0;5.263055420E-1;1.174308014E0;9.798773346E0;9.882912320E0
2.224079125E0;5.129832458E-1;1.165775757E0;9.852361908E0;9.934345479E0
2.234044125E0;5.318440247E-1;1.180295563E0;9.841135254E0;9.925920550E0
2.244009125E0;5.321434021E-1;1.227597198E0;9.793833618E0;9.884803914E0
2.253975125E0;5.108876038E-1;1.226699066E0;9.735155640E0;9.825428849E0
2.263940125E0;4.569996643E-1;1.178798676E0;9.717791748E0;9.799688335E0
2.273905125E0;3.972738647E-1;1.143771515E0;9.748178558E0;9.823086328E0
2.283871125E0;3.864962769E-1;1.155896301E0;9.727222137E0;9.803281397E0
2.293836125E0;4.125421143E-1;1.157393188E0;9.696985016E0;9.774521389E0
2.303801125E0;4.457730103E-1;1.161584473E0;9.680519257E0;9.760145754E0
2.313767125E0;5.035528564E-1;1.182989960E0;9.697883148E0;9.782738281E0
2.323732125E0;5.581892395E-1;1.193468170E0;9.731413422E0;9.820201051E0
2.333697125E0;5.734574890E-1;1.204245758E0;9.785750427E0;9.876232721E0
2.343663125E0;6.089337158E-1;1.205592957E0;9.833650818E0;9.925973154E0
2.353628125E0;6.213578796E-1;1.192719727E0;9.811347198E0;9.903090417E0
2.363593125E0;6.087840271E-1;1.202599182E0;9.786199493E0;9.878591160E0
2.373559125E0;5.709127808E-1;1.198407898E0;9.744735718E0;9.834734216E0
2.383524125E0;5.373825073E-1;1.175655212E0;9.728569336E0;9.814071859E0
2.393489125E0;5.093907166E-1;1.184486847E0;9.732461243E0;9.817499164E0
2.403455125E0;4.950205994E-1;1.167721710E0;9.732461243E0;9.814755281E0
2.413420125E0;4.966671753E-1;1.169667664E0;9.755064240E0;9.837483369E0
2.423385125E0;4.974156189E-1;1.196012878E0;9.756561127E0;9.842172226E0
2.433351125E0;5.041516113E-1;1.202449493E0;9.742939453E0;9.829797700E0
2.443316125E0;5.258564758E-1;1.196911011E0;9.757010193E0;9.844204839E0
