"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
7.548334543E-4;7.451354828E0;-6.571334839E-2;6.422394562E0;9.837385777E0
1.083083334E-2;7.434589691E0;-4.146377563E-2;6.450086975E0;9.842685869E0
2.090683347E-2;7.382647705E0;-5.763015747E-2;6.489604797E0;9.829637776E0
3.098283336E-2;7.379653931E0;-5.643264771E-2;6.577023010E0;9.885327939E0
4.105883325E-2;7.343728638E0;-8.307723999E-2;6.587201843E0;9.865519766E0
5.113483337E-2;7.341632996E0;-1.008901978E-1;6.571334839E0;9.853537204E0
6.121083326E-2;7.345524902E0;-7.364685059E-2;6.574478302E0;9.858292189E0
7.128683338E-2;7.364385681E0;-8.696914673E-2;6.532116394E0;9.844302143E0
8.136283327E-2;7.402855682E0;-6.122268677E-2;6.449488220E0;9.818447880E0
9.143883339E-2;7.463629303E0;-5.598358154E-2;6.420298920E0;9.845259507E0
1.015148333E-1;7.446864166E0;-6.361770630E-2;6.376440125E0;9.804020695E0
1.115898334E-1;7.477999420E0;-8.846603394E-2;6.362668762E0;9.818953882E0
1.216658333E-1;7.455546112E0;-9.370513916E-2;6.386319580E0;9.817282020E0
1.317418334E-1;7.392227783E0;-1.086740112E-1;6.417604523E0;9.789917745E0
1.418178333E-1;7.409591675E0;-8.726852417E-2;6.456822968E0;9.828541469E0
1.518938334E-1;7.400460663E0;-5.508544922E-2;6.484665070E0;9.839752715E0
1.619698333E-1;7.380402374E0;-6.586303711E-2;6.528224487E0;9.853547184E0
1.720458334E-1;7.391179962E0;-4.730163574E-2;6.534810791E0;9.865877090E0
1.821218333E-1;7.388186188E0;-6.676116943E-2;6.549480286E0;9.873471741E0
1.921978334E-1;7.354805603E0;-8.846603394E-2;6.523284760E0;9.831288611E0
2.022738333E-1;7.381300507E0;-8.801696777E-2;6.507866821E0;9.840918388E0
2.123498335E-1;7.394922180E0;-9.774673462E-2;6.463558960E0;9.822017252E0
2.224258333E-1;7.389084320E0;-8.247848511E-2;6.434070282E0;9.798093191E0
2.325018335E-1;7.453450470E0;-6.526428223E-2;6.411167908E0;9.831645705E0
2.425779584E-1;7.473808136E0;-6.286926270E-2;6.390361176E0;9.833538354E0
2.526539583E-1;7.456893311E0;-7.694000244E-2;6.392606506E0;9.822250025E0
2.627299584E-1;7.441325684E0;-8.083190918E-2;6.418053589E0;9.827068413E0
2.728059583E-1;7.411986694E0;-9.610015869E-2;6.451434174E0;9.826890907E0
2.828819584E-1;7.379953308E0;-8.771759033E-2;6.469396820E0;9.814504594E0
2.929579583E-1;7.382498016E0;-8.397537231E-2;6.512357483E0;9.844751333E0
3.030339584E-1;7.387288055E0;-5.927673340E-2;6.514602814E0;9.849649149E0
