Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.015176917,-4.711751862,7.865543518,2.494113464,9.501998864
0.025164917,-4.588558044,7.971523132,2.938688965,9.65587587
0.035152917,-4.408183136,8.022866364,3.351680145,9.748447212
0.045139917,-4.311633911,7.903265076,3.763473816,9.757844076
0.055127917,-4.357288971,7.87706955,4.213887177,9.939368038
0.065114917,-4.441414032,7.900121613,4.534520416,10.13409865
0.075102917,-4.491709442,7.841144257,4.951403503,10.30414449
0.085089917,-4.474345551,7.800129547,5.471122742,10.52591911
0.095077917,-4.282294922,7.739954681,5.784121857,10.56887004
0.105064917,-4.077221375,7.572003937,6.057752838,10.51928454
0.115052917,-4.081113281,7.475155334,6.352639618,10.62494532
0.125040917,-4.094435577,7.329059143,6.451733551,10.58793542
0.135027917,-4.107159119,7.110064545,6.544839935,10.50031922
0.145015917,-4.143982544,6.988217926,6.803951111,10.59724171
0.155002917,-4.142485657,6.921456757,6.907236328,10.61963581
0.164990917,-4.150119781,6.740932159,6.891069946,10.4952611
0.174977917,-4.11748764,6.58525589,6.797514496,10.32111927
0.184965917,-4.145329742,6.498586121,6.613097992,10.15620231
0.194952917,-4.268074493,6.554719391,6.366710358,10.08542547
0.204940917,-4.410129089,6.649472351,6.04353241,10.00944579
0.214927917,-4.439019012,6.716083832,5.748046875,9.891952017
0.224915917,-4.385729828,6.731651459,5.592520294,9.789077624
0.234903917,-4.283043365,6.790628815,5.539680176,9.75423788
0.244890917,-4.149820404,6.802154846,5.448968811,9.653060708
0.254878917,-4.036206665,6.78763504,5.343887329,9.535202435
0.264865917,-3.939058685,6.695127411,5.185516663,9.339726839
0.274853917,-3.855981445,6.61100235,5.163213043,9.232156514
0.284840917,-3.754043427,6.591991882,5.350323944,9.282950249
0.294828917,-3.542533264,6.597680054,5.81061676,9.478512075
0.304815917,-3.285368042,6.553821259,6.238427124,9.626224039
0.314803917,-3.050656128,6.474635925,6.490353241,9.661888965
0.324791917,-2.889890442,6.312822418,6.540948029,9.538720814
0.334778917,-2.758463745,6.054160309,6.606811066,9.37613629
0.344766917,-2.656974792,5.861959991,6.660998383,9.262342546
0.354753917,-2.685864716,5.874683533,6.668482819,9.284096024
0.364742292,-2.749482422,5.915548553,6.865622864,9.470488139
0.374729292,-2.780467987,5.902375946,7.39372467,9.860842182
0.384717292,-2.677033081,5.739963684,7.837701416,10.07686721
0.394704292,-2.372266846,5.238356781,8.356522522,10.1439391
0.404692292,-1.813329163,4.690346375,8.795260162,10.1313431
0.414679292,-1.186283112,4.40533905,9.056317291,10.14057013
0.424667292,-0.735570374,4.309837646,9.341474304,10.31401505
0.434655292,-0.484991455,4.276007996,9.578730927,10.50102601
0.444642292,-0.33814682,4.462520142,10.00025436,10.95598086
0.454630292,-0.198187866,4.879552917,10.41698776,11.50490978
0.464617292,-0.053289185,5.349126434,10.79794556,12.05037848
0.474605292,0.139958954,5.842650146,11.15420471,12.59255463
0.484592292,0.433498535,6.129453735,11.27410538,12.83992119
0.494580292,0.744402008,6.363117828,11.09208389,12.80928288
0.504567292,1.055305481,6.77012146,11.01394638,12.97132334
0.514555292,1.442101135,7.07204361,10.62280975,12.84280123
0.524543292,1.990111542,7.351362762,10.06387207,12.62080027
0.534530292,2.658771057,7.77049118,10.06297394,12.98895843
0.544518292,3.559897156,8.344098358,10.47282166,13.85557067
0.554505292,4.664150848,8.76861557,11.13923584,14.92399066
0.564493292,5.576952667,8.704548798,11.95309341,15.80341776
0.574480292,6.143524475,8.234975281,10.79839462,14.90513459
0.584468292,7.210206299,7.690407715,9.660011902,14.29843613
0.594455292,8.298443298,6.924300842,9.720336456,14.53599134
