"Time (s)","Pressure (hPa)"
-5.217277083E-1,1.003513565E3
5.094642917E-1,1.003512115E3
1.540633292E0,1.003510590E3
2.571816292E0,1.003509979E3
3.603021292E0,1.003509979E3
3.797478292E0,1.003509979E3
4.861865292E0,1.003508682E3
5.926309292E0,1.003507385E3
6.990772292E0,1.003504944E3
8.055247292E0,1.003495560E3
9.119693292E0,1.003465881E3
1.018416129E1,1.003398209E3
1.124864129E1,1.003291016E3
1.231311529E1,1.003144531E3
1.337756129E1,1.002958298E3
1.444202029E1,1.002747879E3
1.550647929E1,1.002531509E3
1.657093129E1,1.002313461E3
1.763541029E1,1.002094955E3
1.869987329E1,1.001878128E3
1.976434729E1,1.001668091E3
2.082877029E1,1.001460037E3
2.189316029E1,1.001253510E3
2.295753329E1,1.001044769E3
2.402195529E1,1.000830002E3
2.508639329E1,1.000604782E3
2.615080629E1,1.000382233E3
2.721522729E1,1.000187073E3
2.827967029E1,1.000035324E3
2.934407029E1,9.999307251E2
3.040848029E1,9.998709869E2
3.147288829E1,9.998499298E2
3.253733029E1,9.998439026E2
3.360179129E1,9.998387909E2
3.466622929E1,9.998361206E2
3.573067029E1,9.998361206E2
