"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.252329187E-2,-3.360811157E0,7.299869843E0,4.725074158E0,9.322525256E0
2.251029178E-2,-2.916834412E0,7.341183929E0,5.585185547E0,9.674461332E0
3.249729169E-2,-2.409090271E0,7.307803345E0,6.475384369E0,1.005675437E1
4.248329182E-2,-1.986069946E0,7.210805054E0,6.989415436E0,1.023680182E1
5.247029173E-2,-1.789977722E0,7.087012482E0,7.150480499E0,1.022541625E1
6.245729188E-2,-1.801054688E0,7.017556915E0,7.360493774E0,1.032796067E1
7.244429179E-2,-1.869462433E0,6.929390259E0,7.399562531E0,1.030848509E1
8.243066678E-2,-2.089953918E0,6.849157104E0,7.152426453E0,1.012107033E1
9.241766669E-2,-2.343825989E0,6.862180023E0,6.908134460E0,1.001525620E1
1.024036668E-1,-2.615810394E0,6.905140686E0,6.703959045E0,9.973289267E0
1.123906667E-1,-2.853965149E0,6.911128235E0,6.586154022E0,9.964247857E0
1.223776669E-1,-3.042123871E0,6.959627380E0,6.633605347E0,1.008442615E1
1.323646668E-1,-3.094514923E0,7.000193024E0,6.691983948E0,1.016667960E1
1.423516667E-1,-2.976260834E0,6.958878937E0,6.820566559E0,1.018843721E1
1.523376668E-1,-2.806364136E0,6.901548157E0,6.923851776E0,1.017087853E1
1.623246667E-1,-2.620450745E0,6.850953369E0,6.894961853E0,1.006691726E1
1.723116667E-1,-2.529290314E0,6.767876129E0,6.854396210E0,9.959126678E0
1.822986668E-1,-2.544857941E0,6.723867645E0,6.779851227E0,9.881957332E0
1.922856667E-1,-2.661615143E0,6.728507996E0,6.758894806E0,9.901498574E0
2.022726669E-1,-2.763403473E0,6.755002899E0,6.911876678E0,1.005189048E1
2.122586668E-1,-2.708318024E0,6.769073639E0,6.938221893E0,1.006450533E1
2.222456667E-1,-2.682272186E0,6.758296051E0,6.755451965E0,9.924982662E0
2.322326668E-1,-2.721939697E0,6.758894806E0,6.514153748E0,9.773730800E0
2.422196667E-1,-2.758164368E0,6.802903290E0,6.235433350E0,9.631593477E0
2.522066669E-1,-2.765499115E0,6.862629089E0,6.003415833E0,9.528098710E0
2.621926668E-1,-2.746338959E0,6.937024384E0,5.937253418E0,9.534970536E0
2.721796667E-1,-2.707419891E0,6.949598236E0,5.914949799E0,9.519121243E0
2.821666668E-1,-2.563718719E0,6.932833099E0,5.878425751E0,9.444189630E0
2.921536667E-1,-2.509232025E0,6.987768860E0,5.993686066E0,9.541982585E0
3.021406669E-1,-2.519710236E0,7.058871002E0,6.225254517E0,9.743222942E0
3.121276668E-1,-2.533481598E0,7.032226410E0,6.400090942E0,9.840320186E0
3.221136667E-1,-2.423759766E0,6.894063721E0,6.401887207E0,9.715291339E0
3.321006668E-1,-2.330503693E0,6.863078156E0,6.238726501E0,9.563200175E0
3.420876667E-1,-2.258802795E0,6.881190491E0,6.119574280E0,9.481675063E0
3.520746669E-1,-2.112706604E0,6.893165588E0,6.002667389E0,9.381432556E0
3.620616668E-1,-2.033221893E0,6.909032593E0,6.024671631E0,9.389642746E0
3.720486667E-1,-2.028581543E0,6.922654266E0,6.111341400E0,9.454458148E0
3.820346668E-1,-1.970352631E0,6.933132477E0,6.135740662E0,9.465618252E0
3.920216667E-1,-1.909579010E0,6.950945435E0,6.106701050E0,9.447429923E0
4.020086667E-1,-2.116598511E0,7.086713104E0,6.178401947E0,9.637123144E0
4.119956668E-1,-2.390977936E0,7.175029449E0,6.293662262E0,9.839106045E0
4.219826667E-1,-2.385439453E0,7.207661591E0,6.432723083E0,9.950911177E0
4.319686668E-1,-2.335742798E0,7.215295715E0,6.701414337E0,1.012053066E1
4.419556668E-1,-2.279908905E0,7.270081787E0,7.021299133E0,1.036101903E1
4.519426667E-1,-2.227368164E0,7.325316925E0,7.389084320E0,1.064048890E1
4.619296668E-1,-2.028431854E0,7.252418518E0,7.611222382E0,1.070713857E1
4.719166667E-1,-1.801204376E0,7.144193573E0,7.625293121E0,1.060325111E1
4.819036669E-1,-1.785786438E0,6.919510803E0,7.319029999E0,1.022921615E1
4.918896668E-1,-1.827250214E0,6.653364258E0,6.649172974E0,9.582150099E0
5.018766667E-1,-1.830094299E0,6.688840485E0,6.286626892E0,9.360102022E0
5.118636668E-1,-1.834285583E0,7.007527771E0,6.465205536E0,9.709218902E0
