"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
1.093666651E-3;5.075460076E-1;-3.066403627E0;-1.756505609E0;3.570118501E0
1.108066668E-2;2.156917155E-1;-3.091910362E0;-1.759397507E0;3.563974213E0
2.106766659E-2;-1.825345010E-1;-3.281151295E0;-1.770718098E0;3.732923150E0
3.105466662E-2;-5.548481941E-1;-3.543424606E0;-1.812970161E0;4.018777832E0
4.104166664E-2;-8.041150570E-1;-3.746672392E0;-1.849803805E0;4.255106245E0
5.102866667E-2;-8.931380510E-1;-3.868405819E0;-1.862217307E0;4.385215212E0
6.101566670E-2;-8.167340755E-1;-3.853494883E0;-1.879790425E0;4.364640810E0
7.100366661E-2;-5.982185006E-1;-3.742173433E0;-1.922251701E0;4.249326886E0
8.099066664E-2;-2.995124459E-1;-3.551040411E0;-1.971285343E0;4.072537490E0
9.097766667E-2;1.827351749E-2;-3.267061472E0;-2.024711847E0;3.843628838E0
1.009646667E-1;2.945692837E-1;-2.951314449E0;-2.063168287E0;3.612989264E0
1.109516666E-1;4.887675941E-1;-2.723582029E0;-2.066485167E0;3.453571163E0
1.209386666E-1;5.706502199E-1;-2.620661497E0;-2.030373096E0;3.363914872E0
1.309256667E-1;5.362464786E-1;-2.618580818E0;-1.982770085E0;3.328047926E0
1.409126667E-1;4.151496291E-1;-2.699159861E0;-1.952286959E0;3.356968504E0
1.509006666E-1;2.653256059E-1;-2.803655148E0;-1.942100525E0;3.420911328E0
1.608876666E-1;1.432372630E-1;-2.888430357E0;-1.958626509E0;3.492816148E0
1.708746667E-1;9.139363468E-2;-2.918485165E0;-1.979024529E0;3.527385227E0
1.808616667E-1;1.120786667E-1;-2.871235609E0;-1.999312520E0;3.500543687E0
1.908486666E-1;1.783310920E-1;-2.771189928E0;-2.016017437E0;3.431562604E0
2.008356666E-1;2.623455524E-1;-2.665112734E0;-2.021624088E0;3.355385973E0
2.108226666E-1;3.232385814E-1;-2.569645166E0;-2.012880802E0;3.280129355E0
2.208096667E-1;3.441377580E-1;-2.503441334E0;-2.003579378E0;3.224899941E0
2.307966666E-1;3.236801624E-1;-2.473069191E0;-1.980810523E0;3.185035384E0
2.407846666E-1;2.812099457E-1;-2.460610390E0;-1.950465918E0;3.152459329E0
2.507716666E-1;2.356949300E-1;-2.476145744E0;-1.915414214E0;3.139372781E0
2.607586667E-1;2.051974833E-1;-2.512457132E0;-1.873753309E0;3.140939081E0
2.707456666E-1;2.033075690E-1;-2.551136017E0;-1.837132931E0;3.150347020E0
2.807326666E-1;2.161104530E-1;-2.586533070E0;-1.805498242E0;3.161752829E0
2.907196666E-1;2.380566895E-1;-2.606264114E0;-1.770344138E0;3.159652194E0
3.007066667E-1;2.597790360E-1;-2.630766392E0;-1.729186416E0;3.158876797E0
3.106936667E-1;2.754682302E-1;-2.674381733E0;-1.687256813E0;3.174119713E0
3.206816666E-1;2.834854126E-1;-2.724570990E0;-1.661599278E0;3.203835704E0
3.306686666E-1;2.865414619E-1;-2.751374722E0;-1.654406190E0;3.223232649E0
3.406556667E-1;2.849587500E-1;-2.761913538E0;-1.661643386E0;3.235803860E0
