"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.275716664E-2,-1.306854248E0,-8.134558105E1,-1.116592407E0,8.136374010E1
2.274516667E-2,-1.214294434E0,-8.120111084E1,-1.228988647E0,8.121948858E1
3.273316671E-2,-1.227569580E0,-8.123812866E1,-1.214035034E0,8.125647271E1
4.272216675E-2,-1.068298340E0,-8.110064697E1,-8.998260498E-1,8.111267403E1
5.271016667E-2,-1.126358032E0,-8.106378174E1,-1.050155640E0,8.107840785E1
6.269816670E-2,-1.258316040E0,-8.138745117E1,-1.008239746E0,8.140342201E1
7.268716674E-2,-1.181396484E0,-8.118637085E1,-1.000396729E0,8.120112871E1
8.267516666E-2,-1.252212524E0,-8.145874023E1,-1.112518311E0,8.147596022E1
9.266316670E-2,-1.337066650E0,-8.120352173E1,-1.150711060E0,8.122268048E1
1.026521667E-1,-1.218261719E0,-8.112683105E1,-1.247299194E0,8.114556447E1
1.126401667E-1,-1.310409546E0,-8.130007935E1,-1.336761475E0,8.132162693E1
1.226281667E-1,-1.365081787E0,-8.104211426E1,-1.187500000E0,8.106230868E1
1.326171667E-1,-1.428955078E0,-8.135479736E1,-1.172409058E0,8.137579191E1
1.426051666E-1,-1.286987305E0,-8.112155151E1,-1.011840820E0,8.113806923E1
1.525941667E-1,-1.346908569E0,-8.108575439E1,-1.344543457E0,8.110808545E1
1.625821667E-1,-1.480484009E0,-8.127441406E1,-1.394699097E0,8.129986101E1
1.725701666E-1,-1.399932861E0,-8.124169922E1,-1.356658936E0,8.126508492E1
1.825591667E-1,-1.450088501E0,-8.138858032E1,-1.339355469E0,8.141251523E1
1.925471667E-1,-1.281341553E0,-8.108316040E1,-1.272399902E0,8.110326589E1
2.025351666E-1,-1.236206055E0,-8.105551147E1,-1.294281006E0,8.107526941E1
2.125241667E-1,-1.254531860E0,-8.130599976E1,-1.065795898E0,8.132266208E1
2.225121667E-1,-1.214340210E0,-8.121615601E1,-9.690704346E-1,8.123101450E1
2.325001667E-1,-1.378173828E0,-8.143188477E1,-9.898376465E-1,8.144956107E1
2.424891667E-1,-1.231750488E0,-8.122097778E1,-7.925262451E-1,8.123418332E1
2.524771667E-1,-1.280838013E0,-8.106845093E1,-1.077056885E0,8.108572213E1
2.624651667E-1,-1.350585938E0,-8.124465942E1,-9.685974121E-1,8.126165731E1
2.724541667E-1,-1.327178955E0,-8.111114502E1,-1.100082397E0,8.112946094E1
2.824426667E-1,-1.480926514E0,-8.130654907E1,-1.105285645E0,8.132754590E1
2.924306667E-1,-1.400161743E0,-8.106381226E1,-9.031219482E-1,8.108093327E1
3.024196667E-1,-1.374053955E0,-8.109994507E1,-1.202514648E0,8.112049775E1
3.124076667E-1,-1.457977295E0,-8.132104492E1,-1.150299072E0,8.134224753E1
3.223966667E-1,-1.313385010E0,-8.119882202E1,-1.038085938E0,8.121607784E1
3.323846667E-1,-1.524597168E0,-8.135098267E1,-1.250244141E0,8.137487258E1
3.423726667E-1,-1.381820679E0,-8.110687256E1,-1.066497803E0,8.112565329E1
3.523616667E-1,-1.339202881E0,-8.105007935E1,-1.050247192E0,8.106794586E1
3.623496667E-1,-1.415420532E0,-8.137649536E1,-1.064773560E0,8.139576866E1
3.723376667E-1,-1.308593750E0,-8.109973145E1,-1.044052124E0,8.111700748E1
3.823266667E-1,-1.376251221E0,-8.134539795E1,-9.890747070E-1,8.136305122E1
3.923146666E-1,-1.366607666E0,-8.102670288E1,-1.077575684E0,8.104539077E1
4.023026667E-1,-1.307937622E0,-8.105541992E1,-1.173171997E0,8.107446042E1
4.122916667E-1,-1.386077881E0,-8.131448364E1,-1.052917480E0,8.133311194E1
4.222796666E-1,-1.158157349E0,-8.115512085E1,-1.014480591E0,8.116972428E1
4.322676667E-1,-1.276763916E0,-8.136355591E1,-9.331512451E-1,8.137892312E1
4.422566667E-1,-1.269012451E0,-8.115679932E1,-8.167572021E-1,8.117082949E1
4.522446666E-1,-1.156768799E0,-8.109823608E1,-1.070724487E0,8.111355288E1
4.622326667E-1,-1.211212158E0,-8.140957642E1,-1.137130737E0,8.142652660E1
4.722216667E-1,-1.335235596E0,-8.126528931E1,-1.234298706E0,8.128562969E1
4.822096667E-1,-1.383453369E0,-8.141168213E1,-1.180740356E0,8.143199665E1
4.921986667E-1,-1.185241699E0,-8.108657837E1,-1.289794922E0,8.110549649E1
5.021866667E-1,-1.265213013E0,-8.119815063E1,-1.102340698E0,8.121548858E1
5.121746667E-1,-1.297088623E0,-8.145321655E1,-1.084259033E0,8.147075882E1
5.221636667E-1,-1.367187500E0,-8.154376221E1,-1.030273438E0,8.156173012E1
5.321516667E-1,-1.436126709E0,-8.161083984E1,-1.128982544E0,8.163128225E1
5.421396667E-1,-1.435882568E0,-8.123318481E1,-1.124862671E0,8.125366078E1
5.521286667E-1,-1.277114868E0,-8.119232178E1,-1.113845825E0,8.121000425E1
5.621166667E-1,-1.468124390E0,-8.148266602E1,-9.960327148E-1,8.150197747E1
5.721046667E-1,-1.417724609E0,-8.133969116E1,-9.748077393E-1,8.135788561E1
5.820936667E-1,-1.464767456E0,-8.152236938E1,-1.009979248E0,8.154178261E1
5.920816667E-1,-1.510009766E0,-8.132012939E1,-7.149810791E-1,8.133729017E1
6.020696667E-1,-1.433441162E0,-8.129028320E1,-8.934173584E-1,8.130782921E1
6.120586667E-1,-1.447143555E0,-8.141607666E1,-7.186584473E-1,8.143210812E1
6.220466667E-1,-1.410339355E0,-8.141329956E1,-8.213958740E-1,8.142965733E1
6.320356667E-1,-1.453308105E0,-8.151556396E1,-8.800354004E-1,8.153326766E1
6.420236666E-1,-1.437606812E0,-8.122320557E1,-7.437286377E-1,8.123933141E1
