time,P
0.083,999.01
1.086,999.01
2.591,999.01
3.662,999.02
4.733,999.02
5.803,999.04
6.874,999.06
7.945,999.07
9.015,999.09
10.086,999.09
11.157,999.08
12.227,999.04
13.298,998.98
14.371,998.87
15.440,998.72
16.510,998.53
17.581,998.32
18.652,998.10
19.722,997.89
20.793,997.67
21.864,997.45
22.935,997.22
24.005,997.00
25.076,996.78
26.147,996.56
27.217,996.34
28.288,996.12
29.359,995.89
30.429,995.67
31.500,995.45
32.571,995.23
33.642,995.02
34.712,994.82
35.783,994.65
36.854,994.52
37.926,994.42
