"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
9.663999999E-3	-3.816324286E-3	8.850862272E-3	4.552435130E-3	1.065958534E-2
1.961100000E-2	-2.435475355E-3	1.285092998E-2	6.551936269E-3	1.462893744E-2
2.955800000E-2	-2.917060163E-3	3.409614321E-3	1.737867249E-3	4.811953074E-3
3.950500000E-2	-7.841344923E-4	3.906560130E-3	-4.592466634E-3	6.080035258E-3
4.945200000E-2	-4.589280579E-3	1.407246478E-2	1.106713898E-3	1.484319968E-2
5.939900000E-2	-5.232433788E-3	1.266072318E-2	1.081680413E-3	1.374199066E-2
6.934600000E-2	-5.005185027E-3	6.568392273E-3	1.886568498E-4	8.260220676E-3
7.929300000E-2	-4.427811597E-3	8.739400655E-3	2.070712624E-3	1.001351537E-2
8.923900000E-2	-4.546595737E-3	4.401680082E-3	-1.694404054E-3	6.551131615E-3
9.918600000E-2	-3.132456914E-3	1.252225600E-3	-1.669370336E-3	3.763927814E-3
1.091330000E-1	-1.791603863E-3	3.379503265E-3	1.952088671E-3	4.294361058E-3
1.190800000E-1	-4.416476004E-4	-2.874664031E-3	1.384302741E-3	3.221030887E-3
1.290270000E-1	3.945152741E-3	-7.757212967E-3	-3.587585175E-3	9.413253983E-3
1.389740000E-1	-8.464071434E-4	-7.779316977E-3	-8.346757386E-4	7.869616335E-3
1.489210000E-1	3.087355755E-3	-6.779069081E-3	-2.388423774E-3	7.822538673E-3
1.588680000E-1	2.943545114E-3	-3.034132067E-3	-3.111205762E-3	5.248810964E-3
1.688150000E-1	1.316846814E-3	-3.432631493E-3	1.030043000E-3	3.818119050E-3
1.787620000E-1	-1.635267399E-3	3.114483785E-3	-2.924830187E-4	3.529823654E-3
1.887090000E-1	-2.073337091E-3	3.425186966E-3	-1.715959050E-3	4.356047280E-3
1.986550000E-1	-2.435527043E-3	3.023049794E-3	2.318769693E-4	3.889008738E-3
2.086020000E-1	-3.082130803E-3	4.461370409E-3	-3.755467478E-4	5.435475284E-3
