Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.7,11.62,0.82,0.874,K0IV,19.026031,1
8.32,2.14,0.97,1.506,K4III,14.972069,0
9.22,6.94,0.89,0.55,F5/F6V,18.426798,1
5.24,13.06,0.59,0.356,F2III,15.8197155,0
7.6,1.69,1.07,1.414,K4III,13.739433,0
9.21,3.97,1.4,0.533,F6V,17.203953,1
8.78,6.82,1.19,0.56,F8V,17.948921,1
9.19,-0.76,1.23,1.547,M2III:,13.594068,0
10.96,0.19,1.49,-0.049,B2.5Iab:,12.353767,0
8.97,6.48,1.22,0.595,G3V,18.027874,1
9.48,0.22,1.42,1.141,G8II,11.192113,0
8.72,2.21,0.81,0.965,G6III,15.441961,0
9.5,35.95,1.22,1.157,K5V,22.278494,1
6.39,8.41,0.77,1.122,K1III,16.013979,0
6.32,26.59,0.85,0.517,F7V,18.443592,1
5.64,11.24,0.55,0.078,A2IV,15.893831,1
9.37,8.68,0.99,0.581,F7V,19.0626,1
5.45,2.45,0.68,1.644,K5III,12.39583,0
9.46,2.1,1.54,0.58,G2V,16.071096,1
8.93,2.39,1.34,0.956,G8/K0IV,15.82199,1
9.22,5.18,1.48,0.537,F7V,17.791649,1
9.28,9.19,0.78,0.513,F6V,19.096577,1
9.45,0.17,1.18,1.361,K2/K3IV,10.602244,1
6.93,13.66,0.55,0.38,F3IV/V,17.607254,1
7.95,3.52,0.93,1.415,M5III,15.682713,0
7.89,9.01,0.94,1.027,K0IV,17.663624,1
7.69,1.02,0.98,1.004,G8III-IV,12.733001,1
8.07,0.64,1.12,1.322,K2:III:,12.100899,0
8.69,2.19,0.8,1.126,K0/K1III,15.39222,0
7.83,4.32,0.9,0.104,A0V,16.00742,1
8.47,23.55,1.01,0.446,F5V,20.329956,1
9.74,3.87,1.41,0.441,F2/F3IV,17.678555,1
9.03,3.53,4.6,0.664,G2V,16.768873,1
8.97,6.46,2.25,1.047,K1III,18.021164,0
9.1,2.38,1.28,1.13,G8IIICN...,15.982885,0
9.06,4.63,1.4,0.513,F6V,17.387905,1
7.94,3.1,0.85,0.051,B9/B9.5V,15.396809,1
7.78,4.79,0.99,1.123,K0III,16.181679,0
2.4,42.14,0.78,1.083,K0III...,15.523474,0
8.79,3.07,0.83,1.087,K0III,16.225693,0
