u,g,r,i,z,redshift,object_class
22.20024,20.28081,18.89497,17.7412,17.11275,-0.0001321582,STAR
25.90009,22.54817,20.63316,19.76508,19.29144,0.4389658,GALAXY
25.38025,21.8884,21.4731,21.30963,21.25112,0.000261799,STAR
23.95152,23.81099,22.55265,22.94361,22.45769,1.349918,QSO
19.08687,18.69941,18.65961,18.45284,18.18401,0.4385868,QSO
24.34843,21.53189,22.504,20.40896,19.63125,0.787481,QSO
19.90815,19.60814,19.33904,19.16596,18.98571,2.063598,QSO
21.1299,18.33994,17.12234,16.63973,16.36857,-2.677896e-05,STAR
22.13173,21.74522,21.47073,21.06832,21.51167,0.9498602,GALAXY
21.81744,20.56845,19.25106,18.75151,18.40219,0.3685204,QSO
23.43118,22.18276,20.9392,19.78369,19.33494,0.5037067,GALAXY
22.21826,22.18274,21.68476,21.53387,21.99845,1.318682,QSO
22.01636,19.48323,18.15364,17.51402,17.13062,-5.983846e-05,STAR
23.07886,23.37484,21.78616,20.52871,19.86413,0.5566224,GALAXY
21.31854,19.06768,17.67241,17.10098,16.69895,0.1835426,GALAXY
18.53768,17.28884,16.65052,16.16036,15.9907,0.07064172,GALAXY
21.65644,21.30447,21.40645,21.01871,20.58854,1.75565,QSO
23.78255,27.41465,22.08744,20.36724,19.72541,0.713344,GALAXY
19.29,16.93837,15.99105,15.67678,15.53548,0.0002257459,STAR
18.26098,16.79413,16.24498,16.05233,15.96275,-0.0004391278,STAR
19.26776,19.24196,19.23377,18.95929,18.98507,1.777673,QSO
21.89577,21.94758,21.47294,21.13743,21.27837,1.158722,QSO
22.28812,21.66195,21.81747,21.47092,20.99029,2.154749,QSO
21.47383,20.92182,20.69545,20.5654,20.34199,0.7250044,QSO
19.3535,18.29924,17.89898,17.76518,17.68253,-0.0005725017,STAR
24.03951,22.1611,22.35483,21.97899,21.42876,0.9780411,GALAXY
17.20638,17.06055,17.10474,17.15683,16.64747,0.3548921,QSO
21.77296,21.74097,21.42638,20.81838,20.36311,1.299026,QSO
18.47563,17.86748,17.35466,17.21593,16.96716,0.7686335,QSO
22.34393,20.56839,18.90509,18.26676,17.94072,0.3164343,GALAXY
23.86388,23.27143,21.46869,20.16478,19.40181,0.566224,GALAXY
21.95959,21.09125,20.18393,19.5739,19.32632,1.536264,QSO
19.99319,18.06159,17.04408,16.59416,16.22154,0.1240706,GALAXY
23.01349,21.74775,20.23334,19.24996,18.76288,0.4849084,QSO
21.42677,19.84895,19.08073,18.80669,18.63581,-0.0002282152,STAR
23.27285,22.92056,21.47072,20.38969,19.82471,0.7287412,GALAXY
20.26909,20.01745,20.30574,20.55732,20.61964,0.0002396036,STAR
19.63096,17.82247,16.99321,16.70688,16.58639,-1.261687e-05,STAR
20.74468,20.73984,20.94608,20.76527,20.73744,1.636749,QSO
23.04234,22.7277,21.01551,19.91887,19.23287,0.6146672,GALAXY
25.12794,22.42203,20.59063,19.5423,18.99462,0.5483525,GALAXY
19.62954,18.23256,17.71639,17.52838,17.44761,0.0001056543,STAR
20.05797,18.25259,17.20222,16.74715,16.38722,0.1316327,GALAXY
25.62363,22.50658,20.92336,19.9074,20.10301,0.5043548,GALAXY
20.9246,21.27933,21.26064,20.79525,20.92474,1.842952,QSO
18.02534,17.03457,16.63467,16.47771,16.40326,-0.0004400294,STAR
